R0_kids,R0_adults,R0_grandparents,TI_kids_VE_0,TI_adults_VE_0,TI_grandparents_VE_0,TI_kids_VE_0.8,TI_adults_VE_0.8,TI_grandparents_VE_0.8,TI_kids_VE_1,TI_adults_VE_1,TI_grandparents_VE_1
1.775,1.5,1.1,27.217300851155624,51.404882023563246,55.29850878857589,23.263142812023318,43.43742393674507,46.942060460137085,1.0,1.0,1.0
1.775,1.5,1.2,27.217300851155624,51.404882023563246,55.6179144419213,23.263142812023318,43.43742393674507,47.12293136215701,1.0,1.0,1.0
1.775,1.5,1.2999999999999998,27.217300851155624,51.404882023563246,55.89354363400847,23.263142812023318,43.43742393674507,47.27664337533861,1.0,1.0,1.0
1.775,1.5,1.4,27.217300851155624,51.404882023563246,56.134038478194356,23.263142812023318,43.43742393674507,47.40889685908867,1.0,1.0,1.0
1.775,1.75,1.0,27.217300851155624,51.83061083984137,54.923524180232086,23.263142812023318,43.667632934980176,46.726112211609745,1.0,1.0,1.0
1.775,1.75,1.1,27.217300851155624,51.83061083984137,55.29850878857589,23.263142812023318,43.667632934980176,46.942060460137085,1.0,1.0,1.0
1.775,1.75,1.2,27.217300851155624,51.83061083984137,55.6179144419213,23.263142812023318,43.667632934980176,47.12293136215701,1.0,1.0,1.0
1.775,1.75,1.2999999999999998,27.217300851155624,51.83061083984137,55.89354363400847,23.263142812023318,43.667632934980176,47.27664337533861,1.0,1.0,1.0
1.775,1.75,1.4,27.217300851155624,51.83061083984137,56.134038478194356,23.263142812023318,43.667632934980176,47.40889685908867,1.0,1.0,1.0
1.775,2.0,1.0,27.217300851155624,52.16022376974006,54.923524180232086,23.263142812023318,43.84140284197918,46.726112211609745,1.0,1.0,1.0
1.775,2.0,1.1,27.217300851155624,52.16022376974006,55.29850878857589,23.263142812023318,43.84140284197918,46.942060460137085,1.0,1.0,1.0
1.775,2.0,1.2,27.217300851155624,52.16022376974006,55.6179144419213,23.263142812023318,43.84140284197918,47.12293136215701,1.0,1.0,1.0
1.775,2.0,1.2999999999999998,27.217300851155624,52.16022376974006,55.89354363400847,23.263142812023318,43.84140284197918,47.27664337533861,1.0,1.0,1.0
1.775,2.0,1.4,27.217300851155624,52.16022376974006,56.134038478194356,23.263142812023318,43.84140284197918,47.40889685908867,1.0,1.0,1.0
1.85,1.0,1.0,27.307799450097107,50.01204487985946,54.923524180232086,23.31669557566679,42.64359114442481,46.726112211609745,1.0,1.0,1.0
1.85,1.0,1.1,27.307799450097107,50.01204487985946,55.29850878857589,23.31669557566679,42.64359114442481,46.942060460137085,1.0,1.0,1.0
1.85,1.0,1.2,27.307799450097107,50.01204487985946,55.6179144419213,23.31669557566679,42.64359114442481,47.12293136215701,1.0,1.0,1.0
1.85,1.0,1.2999999999999998,27.307799450097107,50.01204487985946,55.89354363400847,23.31669557566679,42.64359114442481,47.27664337533861,1.0,1.0,1.0
1.85,1.0,1.4,27.307799450097107,50.01204487985946,56.134038478194356,23.31669557566679,42.64359114442481,47.40889685908867,1.0,1.0,1.0
1.85,1.25,1.0,27.307799450097107,50.83141085895509,54.923524180232086,23.31669557566679,43.117753112726945,46.726112211609745,1.0,1.0,1.0
1.85,1.25,1.1,27.307799450097107,50.83141085895509,55.29850878857589,23.31669557566679,43.117753112726945,46.942060460137085,1.0,1.0,1.0
1.85,1.25,1.2,27.307799450097107,50.83141085895509,55.6179144419213,23.31669557566679,43.117753112726945,47.12293136215701,1.0,1.0,1.0
1.85,1.25,1.2999999999999998,27.307799450097107,50.83141085895509,55.89354363400847,23.31669557566679,43.117753112726945,47.27664337533861,1.0,1.0,1.0
1.85,1.25,1.4,27.307799450097107,50.83141085895509,56.134038478194356,23.31669557566679,43.117753112726945,47.40889685908867,1.0,1.0,1.0
1.85,1.5,1.0,27.307799450097107,51.404882023563246,54.923524180232086,23.31669557566679,43.43742393674507,46.726112211609745,1.0,1.0,1.0
1.85,1.5,1.1,27.307799450097107,51.404882023563246,55.29850878857589,23.31669557566679,43.43742393674507,46.942060460137085,1.0,1.0,1.0
1.85,1.5,1.2,27.307799450097107,51.404882023563246,55.6179144419213,23.31669557566679,43.43742393674507,47.12293136215701,1.0,1.0,1.0
1.85,1.5,1.2999999999999998,27.307799450097107,51.404882023563246,55.89354363400847,23.31669557566679,43.43742393674507,47.27664337533861,1.0,1.0,1.0
1.85,1.5,1.4,27.307799450097107,51.404882023563246,56.134038478194356,23.31669557566679,43.43742393674507,47.40889685908867,1.0,1.0,1.0
1.85,1.75,1.0,27.307799450097107,51.83061083984137,54.923524180232086,23.31669557566679,43.667632934980176,46.726112211609745,1.0,1.0,1.0
1.85,1.75,1.1,27.307799450097107,51.83061083984137,55.29850878857589,23.31669557566679,43.667632934980176,46.942060460137085,1.0,1.0,1.0
1.85,1.75,1.2,27.307799450097107,51.83061083984137,55.6179144419213,23.31669557566679,43.667632934980176,47.12293136215701,1.0,1.0,1.0
1.85,1.75,1.2999999999999998,27.307799450097107,51.83061083984137,55.89354363400847,23.31669557566679,43.667632934980176,47.27664337533861,1.0,1.0,1.0
1.85,1.75,1.4,27.307799450097107,51.83061083984137,56.134038478194356,23.31669557566679,43.667632934980176,47.40889685908867,1.0,1.0,1.0
1.85,2.0,1.0,27.307799450097107,52.16022376974006,54.923524180232086,23.31669557566679,43.84140284197918,46.726112211609745,1.0,1.0,1.0
1.85,2.0,1.1,27.307799450097107,52.16022376974006,55.29850878857589,23.31669557566679,43.84140284197918,46.942060460137085,1.0,1.0,1.0
1.85,2.0,1.2,27.307799450097107,52.16022376974006,55.6179144419213,23.31669557566679,43.84140284197918,47.12293136215701,1.0,1.0,1.0
1.85,2.0,1.2999999999999998,27.307799450097107,52.16022376974006,55.89354363400847,23.31669557566679,43.84140284197918,47.27664337533861,1.0,1.0,1.0
1.85,2.0,1.4,27.307799450097107,52.16022376974006,56.134038478194356,23.31669557566679,43.84140284197918,47.40889685908867,1.0,1.0,1.0
1.925,1.0,1.0,27.392101171329905,50.01204487985946,54.923524180232086,23.366209243347228,42.64359114442481,46.726112211609745,1.0,1.0,1.0
1.925,1.0,1.1,27.392101171329905,50.01204487985946,55.29850878857589,23.366209243347228,42.64359114442481,46.942060460137085,1.0,1.0,1.0
1.925,1.0,1.2,27.392101171329905,50.01204487985946,55.6179144419213,23.366209243347228,42.64359114442481,47.12293136215701,1.0,1.0,1.0
1.925,1.0,1.2999999999999998,27.392101171329905,50.01204487985946,55.89354363400847,23.366209243347228,42.64359114442481,47.27664337533861,1.0,1.0,1.0
1.925,1.0,1.4,27.392101171329905,50.01204487985946,56.134038478194356,23.366209243347228,42.64359114442481,47.40889685908867,1.0,1.0,1.0
1.925,1.25,1.0,27.392101171329905,50.83141085895509,54.923524180232086,23.366209243347228,43.117753112726945,46.726112211609745,1.0,1.0,1.0
1.925,1.25,1.1,27.392101171329905,50.83141085895509,55.29850878857589,23.366209243347228,43.117753112726945,46.942060460137085,1.0,1.0,1.0
1.925,1.25,1.2,27.392101171329905,50.83141085895509,55.6179144419213,23.366209243347228,43.117753112726945,47.12293136215701,1.0,1.0,1.0
1.925,1.25,1.2999999999999998,27.392101171329905,50.83141085895509,55.89354363400847,23.366209243347228,43.117753112726945,47.27664337533861,1.0,1.0,1.0
1.925,1.25,1.4,27.392101171329905,50.83141085895509,56.134038478194356,23.366209243347228,43.117753112726945,47.40889685908867,1.0,1.0,1.0
1.925,1.5,1.0,27.392101171329905,51.404882023563246,54.923524180232086,23.366209243347228,43.43742393674507,46.726112211609745,1.0,1.0,1.0
1.925,1.5,1.1,27.392101171329905,51.404882023563246,55.29850878857589,23.366209243347228,43.43742393674507,46.942060460137085,1.0,1.0,1.0
1.925,1.5,1.2,27.392101171329905,51.404882023563246,55.6179144419213,23.366209243347228,43.43742393674507,47.12293136215701,1.0,1.0,1.0
1.925,1.5,1.2999999999999998,27.392101171329905,51.404882023563246,55.89354363400847,23.366209243347228,43.43742393674507,47.27664337533861,1.0,1.0,1.0
1.925,1.5,1.4,27.392101171329905,51.404882023563246,56.134038478194356,23.366209243347228,43.43742393674507,47.40889685908867,1.0,1.0,1.0
1.925,1.75,1.0,27.392101171329905,51.83061083984137,54.923524180232086,23.366209243347228,43.667632934980176,46.726112211609745,1.0,1.0,1.0
1.925,1.75,1.1,27.392101171329905,51.83061083984137,55.29850878857589,23.366209243347228,43.667632934980176,46.942060460137085,1.0,1.0,1.0
1.925,1.75,1.2,27.392101171329905,51.83061083984137,55.6179144419213,23.366209243347228,43.667632934980176,47.12293136215701,1.0,1.0,1.0
1.925,1.75,1.2999999999999998,27.392101171329905,51.83061083984137,55.89354363400847,23.366209243347228,43.667632934980176,47.27664337533861,1.0,1.0,1.0
1.925,1.75,1.4,27.392101171329905,51.83061083984137,56.134038478194356,23.366209243347228,43.667632934980176,47.40889685908867,1.0,1.0,1.0
1.925,2.0,1.0,27.392101171329905,52.16022376974006,54.923524180232086,23.366209243347228,43.84140284197918,46.726112211609745,1.0,1.0,1.0
1.925,2.0,1.1,27.392101171329905,52.16022376974006,55.29850878857589,23.366209243347228,43.84140284197918,46.942060460137085,1.0,1.0,1.0
1.925,2.0,1.2,27.392101171329905,52.16022376974006,55.6179144419213,23.366209243347228,43.84140284197918,47.12293136215701,1.0,1.0,1.0
1.925,2.0,1.2999999999999998,27.392101171329905,52.16022376974006,55.89354363400847,23.366209243347228,43.84140284197918,47.27664337533861,1.0,1.0,1.0
1.925,2.0,1.4,27.392101171329905,52.16022376974006,56.134038478194356,23.366209243347228,43.84140284197918,47.40889685908867,1.0,1.0,1.0
2.0,1.0,1.0,27.47084051571762,50.01204487985946,54.923524180232086,23.412125565308262,42.64359114442481,46.726112211609745,1.0,1.0,1.0
2.0,1.0,1.1,27.47084051571762,50.01204487985946,55.29850878857589,23.412125565308262,42.64359114442481,46.942060460137085,1.0,1.0,1.0
2.0,1.0,1.2,27.47084051571762,50.01204487985946,55.6179144419213,23.412125565308262,42.64359114442481,47.12293136215701,1.0,1.0,1.0
2.0,1.0,1.2999999999999998,27.47084051571762,50.01204487985946,55.89354363400847,23.412125565308262,42.64359114442481,47.27664337533861,1.0,1.0,1.0
2.0,1.0,1.4,27.47084051571762,50.01204487985946,56.134038478194356,23.412125565308262,42.64359114442481,47.40889685908867,1.0,1.0,1.0
2.0,1.25,1.0,27.47084051571762,50.83141085895509,54.923524180232086,23.412125565308262,43.117753112726945,46.726112211609745,1.0,1.0,1.0
2.0,1.25,1.1,27.47084051571762,50.83141085895509,55.29850878857589,23.412125565308262,43.117753112726945,46.942060460137085,1.0,1.0,1.0
2.0,1.25,1.2,27.47084051571762,50.83141085895509,55.6179144419213,23.412125565308262,43.117753112726945,47.12293136215701,1.0,1.0,1.0
2.0,1.25,1.2999999999999998,27.47084051571762,50.83141085895509,55.89354363400847,23.412125565308262,43.117753112726945,47.27664337533861,1.0,1.0,1.0
2.0,1.25,1.4,27.47084051571762,50.83141085895509,56.134038478194356,23.412125565308262,43.117753112726945,47.40889685908867,1.0,1.0,1.0
2.0,1.5,1.0,27.47084051571762,51.404882023563246,54.923524180232086,23.412125565308262,43.43742393674507,46.726112211609745,1.0,1.0,1.0
2.0,1.5,1.1,27.47084051571762,51.404882023563246,55.29850878857589,23.412125565308262,43.43742393674507,46.942060460137085,1.0,1.0,1.0
2.0,1.5,1.2,27.47084051571762,51.404882023563246,55.6179144419213,23.412125565308262,43.43742393674507,47.12293136215701,1.0,1.0,1.0
2.0,1.5,1.2999999999999998,27.47084051571762,51.404882023563246,55.89354363400847,23.412125565308262,43.43742393674507,47.27664337533861,1.0,1.0,1.0
2.0,1.5,1.4,27.47084051571762,51.404882023563246,56.134038478194356,23.412125565308262,43.43742393674507,47.40889685908867,1.0,1.0,1.0
2.0,1.75,1.0,27.47084051571762,51.83061083984137,54.923524180232086,23.412125565308262,43.667632934980176,46.726112211609745,1.0,1.0,1.0
2.0,1.75,1.1,27.47084051571762,51.83061083984137,55.29850878857589,23.412125565308262,43.667632934980176,46.942060460137085,1.0,1.0,1.0
2.0,1.75,1.2,27.47084051571762,51.83061083984137,55.6179144419213,23.412125565308262,43.667632934980176,47.12293136215701,1.0,1.0,1.0
2.0,1.75,1.2999999999999998,27.47084051571762,51.83061083984137,55.89354363400847,23.412125565308262,43.667632934980176,47.27664337533861,1.0,1.0,1.0
2.0,1.75,1.4,27.47084051571762,51.83061083984137,56.134038478194356,23.412125565308262,43.667632934980176,47.40889685908867,1.0,1.0,1.0
2.0,2.0,1.0,27.47084051571762,52.16022376974006,54.923524180232086,23.412125565308262,43.84140284197918,46.726112211609745,1.0,1.0,1.0
2.0,2.0,1.1,27.47084051571762,52.16022376974006,55.29850878857589,23.412125565308262,43.84140284197918,46.942060460137085,1.0,1.0,1.0
2.0,2.0,1.2,27.47084051571762,52.16022376974006,55.6179144419213,23.412125565308262,43.84140284197918,47.12293136215701,1.0,1.0,1.0
2.0,2.0,1.2999999999999998,27.47084051571762,52.16022376974006,55.89354363400847,23.412125565308262,43.84140284197918,47.27664337533861,1.0,1.0,1.0
2.0,2.0,1.4,27.47084051571762,52.16022376974006,56.134038478194356,23.412125565308262,43.84140284197918,47.40889685908867,1.0,1.0,1.0
