R0_kids,R0_adults,R0_grandparents,VE_kids,VE_adults,VE_grandparents,Re_kids,Re_adults,Re_grandparents
1.7,1.0,1.2999999999999998,0,0,1,1.7,1.0,0.0
1.7,1.0,1.2999999999999998,0,0.8,0,1.7,0.2,1.2999999999999998
1.7,1.0,1.2999999999999998,0,0.8,0.8,1.7,0.2,0.25999999999999995
1.7,1.0,1.2999999999999998,0,0.8,1,1.7,0.2,0.0
1.7,1.0,1.2999999999999998,0,1,0,1.7,0.0,1.2999999999999998
1.7,1.0,1.2999999999999998,0,1,0.8,1.7,0.0,0.25999999999999995
1.7,1.0,1.2999999999999998,0,1,1,1.7,0.0,0.0
1.7,1.0,1.2999999999999998,0.8,0,0,0.34,1.0,1.2999999999999998
1.7,1.0,1.2999999999999998,0.8,0,0.8,0.34,1.0,0.25999999999999995
1.7,1.0,1.2999999999999998,0.8,0,1,0.34,1.0,0.0
1.7,1.0,1.2999999999999998,0.8,0.8,0,0.34,0.2,1.2999999999999998
1.7,1.0,1.2999999999999998,0.8,0.8,0.8,0.34,0.2,0.25999999999999995
1.7,1.0,1.2999999999999998,0.8,0.8,1,0.34,0.2,0.0
1.7,1.0,1.2999999999999998,0.8,1,0,0.34,0.0,1.2999999999999998
1.7,1.0,1.2999999999999998,0.8,1,0.8,0.34,0.0,0.25999999999999995
1.7,1.0,1.2999999999999998,0.8,1,1,0.34,0.0,0.0
1.7,1.0,1.2999999999999998,1,0,0,0.0,1.0,1.2999999999999998
1.7,1.0,1.2999999999999998,1,0,0.8,0.0,1.0,0.25999999999999995
1.7,1.0,1.2999999999999998,1,0,1,0.0,1.0,0.0
1.7,1.0,1.2999999999999998,1,0.8,0,0.0,0.2,1.2999999999999998
1.7,1.0,1.2999999999999998,1,0.8,0.8,0.0,0.2,0.25999999999999995
1.7,1.0,1.2999999999999998,1,0.8,1,0.0,0.2,0.0
1.7,1.0,1.2999999999999998,1,1,0,0.0,0.0,1.2999999999999998
1.7,1.0,1.2999999999999998,1,1,0.8,0.0,0.0,0.25999999999999995
1.7,1.0,1.2999999999999998,1,1,1,0.0,0.0,0.0
1.7,1.0,1.4,0,0,0,1.7,1.0,1.4
1.7,1.0,1.4,0,0,0.8,1.7,1.0,0.27999999999999997
1.7,1.0,1.4,0,0,1,1.7,1.0,0.0
1.7,1.0,1.4,0,0.8,0,1.7,0.2,1.4
1.7,1.0,1.4,0,0.8,0.8,1.7,0.2,0.27999999999999997
1.7,1.0,1.4,0,0.8,1,1.7,0.2,0.0
1.7,1.0,1.4,0,1,0,1.7,0.0,1.4
1.7,1.0,1.4,0,1,0.8,1.7,0.0,0.27999999999999997
1.7,1.0,1.4,0,1,1,1.7,0.0,0.0
1.7,1.0,1.4,0.8,0,0,0.34,1.0,1.4
1.7,1.0,1.4,0.8,0,0.8,0.34,1.0,0.27999999999999997
1.7,1.0,1.4,0.8,0,1,0.34,1.0,0.0
1.7,1.0,1.4,0.8,0.8,0,0.34,0.2,1.4
1.7,1.0,1.4,0.8,0.8,0.8,0.34,0.2,0.27999999999999997
1.7,1.0,1.4,0.8,0.8,1,0.34,0.2,0.0
1.7,1.0,1.4,0.8,1,0,0.34,0.0,1.4
1.7,1.0,1.4,0.8,1,0.8,0.34,0.0,0.27999999999999997
1.7,1.0,1.4,0.8,1,1,0.34,0.0,0.0
1.7,1.0,1.4,1,0,0,0.0,1.0,1.4
1.7,1.0,1.4,1,0,0.8,0.0,1.0,0.27999999999999997
1.7,1.0,1.4,1,0,1,0.0,1.0,0.0
1.7,1.0,1.4,1,0.8,0,0.0,0.2,1.4
1.7,1.0,1.4,1,0.8,0.8,0.0,0.2,0.27999999999999997
1.7,1.0,1.4,1,0.8,1,0.0,0.2,0.0
1.7,1.0,1.4,1,1,0,0.0,0.0,1.4
1.7,1.0,1.4,1,1,0.8,0.0,0.0,0.27999999999999997
1.7,1.0,1.4,1,1,1,0.0,0.0,0.0
1.7,1.25,1.0,0,0,0,1.7,1.25,1.0
1.7,1.25,1.0,0,0,0.8,1.7,1.25,0.2
1.7,1.25,1.0,0,0,1,1.7,1.25,0.0
1.7,1.25,1.0,0,0.8,0,1.7,0.25,1.0
1.7,1.25,1.0,0,0.8,0.8,1.7,0.25,0.2
1.7,1.25,1.0,0,0.8,1,1.7,0.25,0.0
1.7,1.25,1.0,0,1,0,1.7,0.0,1.0
1.7,1.25,1.0,0,1,0.8,1.7,0.0,0.2
1.7,1.25,1.0,0,1,1,1.7,0.0,0.0
1.7,1.25,1.0,0.8,0,0,0.34,1.25,1.0
1.7,1.25,1.0,0.8,0,0.8,0.34,1.25,0.2
1.7,1.25,1.0,0.8,0,1,0.34,1.25,0.0
1.7,1.25,1.0,0.8,0.8,0,0.34,0.25,1.0
1.7,1.25,1.0,0.8,0.8,0.8,0.34,0.25,0.2
1.7,1.25,1.0,0.8,0.8,1,0.34,0.25,0.0
1.7,1.25,1.0,0.8,1,0,0.34,0.0,1.0
1.7,1.25,1.0,0.8,1,0.8,0.34,0.0,0.2
1.7,1.25,1.0,0.8,1,1,0.34,0.0,0.0
1.7,1.25,1.0,1,0,0,0.0,1.25,1.0
1.7,1.25,1.0,1,0,0.8,0.0,1.25,0.2
1.7,1.25,1.0,1,0,1,0.0,1.25,0.0
1.7,1.25,1.0,1,0.8,0,0.0,0.25,1.0
1.7,1.25,1.0,1,0.8,0.8,0.0,0.25,0.2
1.7,1.25,1.0,1,0.8,1,0.0,0.25,0.0
1.7,1.25,1.0,1,1,0,0.0,0.0,1.0
1.7,1.25,1.0,1,1,0.8,0.0,0.0,0.2
1.7,1.25,1.0,1,1,1,0.0,0.0,0.0
1.7,1.25,1.1,0,0,0,1.7,1.25,1.1
1.7,1.25,1.1,0,0,0.8,1.7,1.25,0.22000000000000003
1.7,1.25,1.1,0,0,1,1.7,1.25,0.0
1.7,1.25,1.1,0,0.8,0,1.7,0.25,1.1
1.7,1.25,1.1,0,0.8,0.8,1.7,0.25,0.22000000000000003
1.7,1.25,1.1,0,0.8,1,1.7,0.25,0.0
1.7,1.25,1.1,0,1,0,1.7,0.0,1.1
1.7,1.25,1.1,0,1,0.8,1.7,0.0,0.22000000000000003
1.7,1.25,1.1,0,1,1,1.7,0.0,0.0
1.7,1.25,1.1,0.8,0,0,0.34,1.25,1.1
1.7,1.25,1.1,0.8,0,0.8,0.34,1.25,0.22000000000000003
1.7,1.25,1.1,0.8,0,1,0.34,1.25,0.0
1.7,1.25,1.1,0.8,0.8,0,0.34,0.25,1.1
1.7,1.25,1.1,0.8,0.8,0.8,0.34,0.25,0.22000000000000003
1.7,1.25,1.1,0.8,0.8,1,0.34,0.25,0.0
1.7,1.25,1.1,0.8,1,0,0.34,0.0,1.1
1.7,1.25,1.1,0.8,1,0.8,0.34,0.0,0.22000000000000003
1.7,1.25,1.1,0.8,1,1,0.34,0.0,0.0
1.7,1.25,1.1,1,0,0,0.0,1.25,1.1
1.7,1.25,1.1,1,0,0.8,0.0,1.25,0.22000000000000003
1.7,1.25,1.1,1,0,1,0.0,1.25,0.0
1.7,1.25,1.1,1,0.8,0,0.0,0.25,1.1
1.7,1.25,1.1,1,0.8,0.8,0.0,0.25,0.22000000000000003
1.7,1.25,1.1,1,0.8,1,0.0,0.25,0.0
1.7,1.25,1.1,1,1,0,0.0,0.0,1.1
1.7,1.25,1.1,1,1,0.8,0.0,0.0,0.22000000000000003
1.7,1.25,1.1,1,1,1,0.0,0.0,0.0
1.7,1.25,1.2,0,0,0,1.7,1.25,1.2
1.7,1.25,1.2,0,0,0.8,1.7,1.25,0.24
1.7,1.25,1.2,0,0,1,1.7,1.25,0.0
1.7,1.25,1.2,0,0.8,0,1.7,0.25,1.2
1.7,1.25,1.2,0,0.8,0.8,1.7,0.25,0.24
1.7,1.25,1.2,0,0.8,1,1.7,0.25,0.0
1.7,1.25,1.2,0,1,0,1.7,0.0,1.2
1.7,1.25,1.2,0,1,0.8,1.7,0.0,0.24
1.7,1.25,1.2,0,1,1,1.7,0.0,0.0
1.7,1.25,1.2,0.8,0,0,0.34,1.25,1.2
1.7,1.25,1.2,0.8,0,0.8,0.34,1.25,0.24
1.7,1.25,1.2,0.8,0,1,0.34,1.25,0.0
1.7,1.25,1.2,0.8,0.8,0,0.34,0.25,1.2
1.7,1.25,1.2,0.8,0.8,0.8,0.34,0.25,0.24
1.7,1.25,1.2,0.8,0.8,1,0.34,0.25,0.0
1.7,1.25,1.2,0.8,1,0,0.34,0.0,1.2
1.7,1.25,1.2,0.8,1,0.8,0.34,0.0,0.24
1.7,1.25,1.2,0.8,1,1,0.34,0.0,0.0
1.7,1.25,1.2,1,0,0,0.0,1.25,1.2
1.7,1.25,1.2,1,0,0.8,0.0,1.25,0.24
1.7,1.25,1.2,1,0,1,0.0,1.25,0.0
1.7,1.25,1.2,1,0.8,0,0.0,0.25,1.2
1.7,1.25,1.2,1,0.8,0.8,0.0,0.25,0.24
1.7,1.25,1.2,1,0.8,1,0.0,0.25,0.0
1.7,1.25,1.2,1,1,0,0.0,0.0,1.2
1.7,1.25,1.2,1,1,0.8,0.0,0.0,0.24
1.7,1.25,1.2,1,1,1,0.0,0.0,0.0
1.7,1.25,1.2999999999999998,0,0,0,1.7,1.25,1.2999999999999998
1.7,1.25,1.2999999999999998,0,0,0.8,1.7,1.25,0.25999999999999995
1.7,1.25,1.2999999999999998,0,0,1,1.7,1.25,0.0
1.7,1.25,1.2999999999999998,0,0.8,0,1.7,0.25,1.2999999999999998
1.7,1.25,1.2999999999999998,0,0.8,0.8,1.7,0.25,0.25999999999999995
1.7,1.25,1.2999999999999998,0,0.8,1,1.7,0.25,0.0
1.7,1.25,1.2999999999999998,0,1,0,1.7,0.0,1.2999999999999998
1.7,1.25,1.2999999999999998,0,1,0.8,1.7,0.0,0.25999999999999995
1.7,1.25,1.2999999999999998,0,1,1,1.7,0.0,0.0
1.7,1.25,1.2999999999999998,0.8,0,0,0.34,1.25,1.2999999999999998
1.7,1.25,1.2999999999999998,0.8,0,0.8,0.34,1.25,0.25999999999999995
1.7,1.25,1.2999999999999998,0.8,0,1,0.34,1.25,0.0
1.7,1.25,1.2999999999999998,0.8,0.8,0,0.34,0.25,1.2999999999999998
1.7,1.25,1.2999999999999998,0.8,0.8,0.8,0.34,0.25,0.25999999999999995
1.7,1.25,1.2999999999999998,0.8,0.8,1,0.34,0.25,0.0
1.7,1.25,1.2999999999999998,0.8,1,0,0.34,0.0,1.2999999999999998
1.7,1.25,1.2999999999999998,0.8,1,0.8,0.34,0.0,0.25999999999999995
1.7,1.25,1.2999999999999998,0.8,1,1,0.34,0.0,0.0
1.7,1.25,1.2999999999999998,1,0,0,0.0,1.25,1.2999999999999998
1.7,1.25,1.2999999999999998,1,0,0.8,0.0,1.25,0.25999999999999995
1.7,1.25,1.2999999999999998,1,0,1,0.0,1.25,0.0
1.7,1.25,1.2999999999999998,1,0.8,0,0.0,0.25,1.2999999999999998
1.7,1.25,1.2999999999999998,1,0.8,0.8,0.0,0.25,0.25999999999999995
1.7,1.25,1.2999999999999998,1,0.8,1,0.0,0.25,0.0
1.7,1.25,1.2999999999999998,1,1,0,0.0,0.0,1.2999999999999998
1.7,1.25,1.2999999999999998,1,1,0.8,0.0,0.0,0.25999999999999995
1.7,1.25,1.2999999999999998,1,1,1,0.0,0.0,0.0
1.7,1.25,1.4,0,0,0,1.7,1.25,1.4
1.7,1.25,1.4,0,0,0.8,1.7,1.25,0.27999999999999997
1.7,1.25,1.4,0,0,1,1.7,1.25,0.0
1.7,1.25,1.4,0,0.8,0,1.7,0.25,1.4
1.7,1.25,1.4,0,0.8,0.8,1.7,0.25,0.27999999999999997
1.7,1.25,1.4,0,0.8,1,1.7,0.25,0.0
1.7,1.25,1.4,0,1,0,1.7,0.0,1.4
1.7,1.25,1.4,0,1,0.8,1.7,0.0,0.27999999999999997
1.7,1.25,1.4,0,1,1,1.7,0.0,0.0
1.7,1.25,1.4,0.8,0,0,0.34,1.25,1.4
1.7,1.25,1.4,0.8,0,0.8,0.34,1.25,0.27999999999999997
1.7,1.25,1.4,0.8,0,1,0.34,1.25,0.0
1.7,1.25,1.4,0.8,0.8,0,0.34,0.25,1.4
1.7,1.25,1.4,0.8,0.8,0.8,0.34,0.25,0.27999999999999997
1.7,1.25,1.4,0.8,0.8,1,0.34,0.25,0.0
1.7,1.25,1.4,0.8,1,0,0.34,0.0,1.4
1.7,1.25,1.4,0.8,1,0.8,0.34,0.0,0.27999999999999997
1.7,1.25,1.4,0.8,1,1,0.34,0.0,0.0
1.7,1.25,1.4,1,0,0,0.0,1.25,1.4
1.7,1.25,1.4,1,0,0.8,0.0,1.25,0.27999999999999997
1.7,1.25,1.4,1,0,1,0.0,1.25,0.0
1.7,1.25,1.4,1,0.8,0,0.0,0.25,1.4
1.7,1.25,1.4,1,0.8,0.8,0.0,0.25,0.27999999999999997
1.7,1.25,1.4,1,0.8,1,0.0,0.25,0.0
1.7,1.25,1.4,1,1,0,0.0,0.0,1.4
1.7,1.25,1.4,1,1,0.8,0.0,0.0,0.27999999999999997
1.7,1.25,1.4,1,1,1,0.0,0.0,0.0
1.7,1.5,1.0,0,0,0,1.7,1.5,1.0
1.7,1.5,1.0,0,0,0.8,1.7,1.5,0.2
1.7,1.5,1.0,0,0,1,1.7,1.5,0.0
1.7,1.5,1.0,0,0.8,0,1.7,0.30000000000000004,1.0
1.7,1.5,1.0,0,0.8,0.8,1.7,0.30000000000000004,0.2
1.7,1.5,1.0,0,0.8,1,1.7,0.30000000000000004,0.0
1.7,1.5,1.0,0,1,0,1.7,0.0,1.0
1.7,1.5,1.0,0,1,0.8,1.7,0.0,0.2
1.7,1.5,1.0,0,1,1,1.7,0.0,0.0
1.7,1.5,1.0,0.8,0,0,0.34,1.5,1.0
1.7,1.5,1.0,0.8,0,0.8,0.34,1.5,0.2
1.7,1.5,1.0,0.8,0,1,0.34,1.5,0.0
1.7,1.5,1.0,0.8,0.8,0,0.34,0.30000000000000004,1.0
1.7,1.5,1.0,0.8,0.8,0.8,0.34,0.30000000000000004,0.2
1.7,1.5,1.0,0.8,0.8,1,0.34,0.30000000000000004,0.0
1.7,1.5,1.0,0.8,1,0,0.34,0.0,1.0
1.7,1.5,1.0,0.8,1,0.8,0.34,0.0,0.2
1.7,1.5,1.0,0.8,1,1,0.34,0.0,0.0
1.7,1.5,1.0,1,0,0,0.0,1.5,1.0
1.7,1.5,1.0,1,0,0.8,0.0,1.5,0.2
1.7,1.5,1.0,1,0,1,0.0,1.5,0.0
1.7,1.5,1.0,1,0.8,0,0.0,0.30000000000000004,1.0
1.7,1.5,1.0,1,0.8,0.8,0.0,0.30000000000000004,0.2
1.7,1.5,1.0,1,0.8,1,0.0,0.30000000000000004,0.0
1.7,1.5,1.0,1,1,0,0.0,0.0,1.0
1.7,1.5,1.0,1,1,0.8,0.0,0.0,0.2
1.7,1.5,1.0,1,1,1,0.0,0.0,0.0
1.7,1.5,1.1,0,0,0,1.7,1.5,1.1
1.7,1.5,1.1,0,0,0.8,1.7,1.5,0.22000000000000003
1.7,1.5,1.1,0,0,1,1.7,1.5,0.0
1.7,1.5,1.1,0,0.8,0,1.7,0.30000000000000004,1.1
1.7,1.5,1.1,0,0.8,0.8,1.7,0.30000000000000004,0.22000000000000003
1.7,1.5,1.1,0,0.8,1,1.7,0.30000000000000004,0.0
1.7,1.5,1.1,0,1,0,1.7,0.0,1.1
1.7,1.5,1.1,0,1,0.8,1.7,0.0,0.22000000000000003
1.7,1.5,1.1,0,1,1,1.7,0.0,0.0
1.7,1.5,1.1,0.8,0,0,0.34,1.5,1.1
1.7,1.5,1.1,0.8,0,0.8,0.34,1.5,0.22000000000000003
1.7,1.5,1.1,0.8,0,1,0.34,1.5,0.0
1.7,1.5,1.1,0.8,0.8,0,0.34,0.30000000000000004,1.1
1.7,1.5,1.1,0.8,0.8,0.8,0.34,0.30000000000000004,0.22000000000000003
1.7,1.5,1.1,0.8,0.8,1,0.34,0.30000000000000004,0.0
1.7,1.5,1.1,0.8,1,0,0.34,0.0,1.1
1.7,1.5,1.1,0.8,1,0.8,0.34,0.0,0.22000000000000003
1.7,1.5,1.1,0.8,1,1,0.34,0.0,0.0
1.7,1.5,1.1,1,0,0,0.0,1.5,1.1
1.7,1.5,1.1,1,0,0.8,0.0,1.5,0.22000000000000003
1.7,1.5,1.1,1,0,1,0.0,1.5,0.0
1.7,1.5,1.1,1,0.8,0,0.0,0.30000000000000004,1.1
1.7,1.5,1.1,1,0.8,0.8,0.0,0.30000000000000004,0.22000000000000003
1.7,1.5,1.1,1,0.8,1,0.0,0.30000000000000004,0.0
1.7,1.5,1.1,1,1,0,0.0,0.0,1.1
1.7,1.5,1.1,1,1,0.8,0.0,0.0,0.22000000000000003
1.7,1.5,1.1,1,1,1,0.0,0.0,0.0
1.7,1.5,1.2,0,0,0,1.7,1.5,1.2
1.7,1.5,1.2,0,0,0.8,1.7,1.5,0.24
1.7,1.5,1.2,0,0,1,1.7,1.5,0.0
1.7,1.5,1.2,0,0.8,0,1.7,0.30000000000000004,1.2
1.7,1.5,1.2,0,0.8,0.8,1.7,0.30000000000000004,0.24
1.7,1.5,1.2,0,0.8,1,1.7,0.30000000000000004,0.0
1.7,1.5,1.2,0,1,0,1.7,0.0,1.2
1.7,1.5,1.2,0,1,0.8,1.7,0.0,0.24
1.7,1.5,1.2,0,1,1,1.7,0.0,0.0
1.7,1.5,1.2,0.8,0,0,0.34,1.5,1.2
1.7,1.5,1.2,0.8,0,0.8,0.34,1.5,0.24
1.7,1.5,1.2,0.8,0,1,0.34,1.5,0.0
1.7,1.5,1.2,0.8,0.8,0,0.34,0.30000000000000004,1.2
1.7,1.5,1.2,0.8,0.8,0.8,0.34,0.30000000000000004,0.24
1.7,1.5,1.2,0.8,0.8,1,0.34,0.30000000000000004,0.0
1.7,1.5,1.2,0.8,1,0,0.34,0.0,1.2
1.7,1.5,1.2,0.8,1,0.8,0.34,0.0,0.24
1.7,1.5,1.2,0.8,1,1,0.34,0.0,0.0
1.7,1.5,1.2,1,0,0,0.0,1.5,1.2
1.7,1.5,1.2,1,0,0.8,0.0,1.5,0.24
1.7,1.5,1.2,1,0,1,0.0,1.5,0.0
